# Door & Key
d 342 270 level1
k 216 72

# Hero
h 54 270

# Platforms

# Border #
w 18 18 F 
w 18 36 F
w 18 54 F
w 18 72 F
w 18 90 F
w 18 126 F
w 18 108 F
w 18 144 F
w 18 162 F
w 18 180 F
w 18 198 F
w 18 216 F
w 18 234 F
w 18 252 F
w 18 270 F
w 18 288 F
w 36 288 F
w 54 288 F
w 72 288 F
w 90 288 F
w 108 288 F
w 126 288 F
w 144 288 F
w 162 288 F
w 198 288 F
w 216 288 F
w 234 288 F
w 180 288 F
w 252 288 F
w 270 288 F
w 288 288 F
w 306 288 F
w 324 288 F
w 342 288 F
w 360 288 F
w 378 288 F
w 378 270 F
w 378 234 F
w 378 216 F
w 378 252 F
w 378 198 F
w 378 180 F
w 378 162 F
w 378 144 F
w 378 126 F
w 378 108 F
w 378 90 F
w 378 72 F
w 378 54 F
w 378 36 F
w 378 18 F
w 360 18 F 
w 324 18 F
w 342 18 F
w 306 18 F
w 288 18 F
w 270 18 F
w 252 18 F
w 234 18 F
w 216 18 F
w 198 18 F 
w 180 18 F
w 162 18 F
w 144 18 F
w 54 18 F
w 72 18 F
w 90 18 F
w 108 18 F
w 126 18 F
w 36 18 F
# Border #

# Actual platforms #
w 198 108 T
w 216 108 T
w 234 108 T
 
w 306 126 F
w 324 126 F

w 252 162 F
w 234 162 F

w 180 198 F
w 162 198 T

w 108 234 T
w 90 234 F
